job_title,category,clean_job_title
Mitarbeiter im Vertriebsinnen- und Außendienst (m/w/d),Sales,"['employee', 'internal', 'external', 'sale']"
SAP Basis Berater/ Consultant (m/w/d),IT,"['system', 'application', 'product', 'basis', 'consultant']"
Junior Social Media Manager (w/m/d),Marketing and Communication,"['social', 'medium', 'manager']"
Manager (m/w/d) Data Scientist - Advisory (Financial Services),IT,"['manager', 'data', 'scientist', 'advisory', 'financial', 'service']"
Bereichsleiter (m/w/d) Frischetheke (Metzgerei),Sales,"['head', 'fresh', 'food', 'counter', 'butcher', 'shop']"
Duales Studium in der Unternehmensberatung - Angewandte Informatik (Bachelor of Science),IT,"['dual', 'study', 'management', 'consulting', 'applied', 'computer', 'science', 'bachelor', 'science']"
Werkstudent (m/w/d) Informatik / IT Sicherheit,IT,"['working', 'student', 'computer', 'science', 'information', 'technology', 'security']"
Kundenservicemitarbeiter (m/w/d) – Berlin – deutsch und türkischer Support,Sales,"['customer', 'service', 'staff', 'berlin', 'german', 'turkish', 'support']"
Verkäufer*in (m/w/d) für den Hofladen in Voll- oder Teilzeit,Sales,"['fulltime', 'parttime', 'seller', 'farm', 'shop']"
Trainee Entwicklung & Business Development (m/w/d),Sales,"['trainee', 'development', 'business', 'development']"
Project Manager (m/f/d) Data Analytics,IT,"['project', 'manager', 'data', 'analytics']"
Call Center Agenten (m/w/d),Sales,"['call', 'center', 'agent']"
Praktikant*in in Marketing und Kommunikation,Marketing and Communication,"['intern', 'marketing', 'communication']"
Mitarbeiter (m/w/d) für die Entwicklung im Identity- & Access-Management,IT,"['employee', 'development', 'identity', 'access', 'management']"
Berater (m/w/d) für die Versicherungsbranche,IT,"['consultant', 'insurance', 'industry']"
SAP FI/CO Berater (m/w/d) – SAP FI/CO Consultant,IT,"['system', 'application', 'product', 'fi', 'co', 'consultant', 'system', 'application', 'product', 'fi', 'co', 'consultant']"
Softwareentwickler - Kundenprojekte (m/w/d),IT,"['software', 'developer', 'customer', 'project']"
"Verkäufer, Kaufmann im Einzelhandel, Kaufmann für Büromanagement / Bürokaufmann als Fachberater (m/w/d) Kundeninformationscentrum",Sales,"['salesperson', 'retail', 'merchant', 'office', 'management', 'clerk', 'specialist', 'advisor', 'customer', 'information', 'center']"
Medizinprodukteberater (m/w/d) im Bereich Wundversorgung bundesweit - in diversen Gebieten,Sales,"['medical', 'product', 'consultant', 'field', 'wound', 'care', 'nationwide', 'various', 'area']"
Stellvertretender Marktleiter (m/w/d),Sales,"['deputy', 'store', 'manager']"
IT-Systemelektroniker/-in / Systeminformatiker/-in / Kommunikationselektroniker/-in (w/m/d),IT,"['information', 'technology', 'system', 'electronics', 'technician', 'system', 'informatics', 'technician', 'communication', 'electronics', 'technician']"
Marketingfachkraft / Mitarbeiter Marketing (m/w/d),Marketing and Communication,"['marketing', 'specialist', 'marketing', 'employee']"
Mitarbeiter (w/m/d) Customer Service,Sales,"['customer', 'service', 'employee']"
(Senior) Solution Engineer (m/w/d) – SAP Vertrieb & Logistik (SD/LO/MM),IT,"['solution', 'engineer', 'system', 'application', 'product', 'sale', 'logistics']"
IT-Verfahrensspezialisten SharePoint Verfahren (w/m/d),IT,"['information', 'technology', 'process', 'specialist', 'sharepoint', 'process']"
Spezialist Business Intelligence (m/w/d),IT,"['business', 'intelligence', 'specialist']"
Sachbearbeitung Key-Account-Management (m/w/d),Marketing and Communication,"['processing', 'key', 'account', 'management']"
Sachbearbeiter Kundenservice (m/w/d),Sales,"['customer', 'service', 'clerk']"
Bereichsleiter Medialer und Stationärer Vertrieb (m/w/d),Sales,"['head', 'medium', 'stationary', 'sale']"
"Verkäufer, Kaufmann im Einzelhandel, Maler, Lackierer oder Raumausstatter als Fachberater (m/w/d) Farben und Creativ",Sales,"['salesman', 'retailer', 'painter', 'varnisher', 'interior', 'decorator', 'specialist', 'paint', 'creative', 'consultant']"
Sachbearbeiter Administration / Backoffice (m/w/d),Sales,"['administration', 'back', 'office', 'clerk']"
Informatiker als Projektkoordinator (m/w/d) im Bereich Digitalisierung,IT,"['computer', 'scientist', 'project', 'coordinator', 'field', 'digitization']"
UI/UX Designer (w/m/d),IT,"['user', 'interface', 'user', 'experience', 'designer']"
Vertriebsmanager für den Telefonvertrieb (w/m/d),Sales,"['sale', 'manager', 'telephone', 'sale']"
Designer Userinterfaces für Webanwendungen (m/w/d),IT,"['designer', 'user', 'interface', 'web', 'application']"
Vermietungsmanager (m/w/d) - Einzelhandel,Sales,"['letting', 'manager', 'retail']"
Mitarbeiter (m/w/d) Customer Service / befristet auf 12 Monate,Sales,"['customer', 'service', 'employee', 'limited', 'month']"
Frontend Developer - Digital Products (f/m/x),IT,"['frontend', 'developmenteloper', 'digital', 'product']"
Wissenschaftlicher Mitarbeiter mit Möglichkeit zur Promotion aus dem Bereich Echtzeit-3D-Visualisierung,IT,"['research', 'assistant', 'opportunity', 'doctorate', 'field', 'realtime', 'visualization']"
Referent (m/w/d) Marketing - Marktforschung,Marketing and Communication,"['marketing', 'consultant', 'market', 'research']"
Mediaberater national (m/w/d),Marketing and Communication,"['national', 'medium', 'consultant']"
Consultant (m/w/d) Wodis Sigma,IT,"['consultant', 'wodis', 'sigma']"
Kaufmännischer Mitarbeiter im Vertriebsinnendienst / Vertriebsassistenz (m/w/d) in der Region Paderborn und Höxter,Sales,"['commercial', 'employee', 'internal', 'sale', 'sale', 'assistance', 'paderborn', 'höxter', 'region']"
Immobilienkaufmann als Produktspezialist (m/w/d) für die Kundenbetreuung unserer immobilienwirtschaftlichen Software,Sales,"['real', 'estate', 'agent', 'product', 'specialist', 'customer', 'support', 'real', 'estate', 'management', 'software']"
Teamleiter Onboarding Systems (w/m/d),IT,"['team', 'leader', 'onboarding', 'system']"
Marktmanager (m/w/d) Glottertal,Sales,"['market', 'manager', 'glottertal']"
Online Performance Marketing Manager,Marketing and Communication,"['online', 'performance', 'marketing', 'manager']"
Media Manager (Branding) (m/w/d),Marketing and Communication,"['medium', 'manager', 'branding']"
Knowledge Management Specialist (m/w/d),IT,"['knowledge', 'management', 'specialist']"
Developer (m/w/d) mit dem Schwerpunkt Front-End,IT,"['developmenteloper', 'focus', 'frontend']"
Marketing/ Eventmanager (w/m/d),Marketing and Communication,"['marketing', 'event', 'manager']"
IT-Servicetechniker (m/w/d),IT,"['information', 'technology', 'service', 'technician']"
iOS App Developer*,IT,"['io', 'app', 'developmenteloper']"
Kundenbetreuer (m/w/d) Innendienst mit Schwerpunkt Bedruckung,Sales,"['customer', 'advisor', 'office', 'focus', 'printing']"
Dualer Master (m/w/d) Business Intelligence im Europäischen IT-Business-Bereich,IT,"['dual', 'master', 'business', 'intelligence', 'european', 'information', 'technology', 'business', 'area']"
Kundenbetreuer im Innendienst,Sales,"['customer', 'advisor', 'office']"
Praktikum Content Marketing / Social Media (m/w/d),Marketing and Communication,"['internship', 'content', 'marketing', 'social', 'medium']"
Softwarearchitekt Java (w/m/d),IT,"['java', 'software', 'architect']"
Volontär/in (m/w/d) im Bereich Marketing,Marketing and Communication,"['marketing', 'volunteer']"
Marketing Referent (m/w/d),Marketing and Communication,"['marketing', 'speaker']"
Ausbildung zum Drogisten (w/m/d) 2020,Sales,"['training', 'pharmacist']"
Junior Consultant (all genders) Intelligent Cloud and Infrastructure,IT,"['consultant', 'gender', 'intelligent', 'cloud', 'infrastructure']"
Projektmanager im Bereich Facility Management Systeme (m/w/d),IT,"['project', 'manager', 'field', 'facility', 'management', 'system']"
DevOps - Open Banking Integration (f/m/x),IT,"['developmentops', 'open', 'banking', 'integration']"
Außendienstmitarbeiter (m/w/d) im Bereich Tiergesundheit (Groß- und Kleintiere),Sales,"['sale', 'representative', 'field', 'animal', 'health', 'large', 'small', 'animal']"
Servicetechniker (w/m/d) Apple in Voll- und Teilzeit,IT,"['service', 'technician', 'apple', 'fulltime', 'parttime']"
(Senior) System Engineer (m/w/d) - Storage / SAN,IT,"['system', 'engineer', 'storage', 'san']"
Principal Sales Consultant - Cybersecurity (m/w/d) für das Marktsegment Defense & Government,IT,"['principal', 'sale', 'consultant', 'cybersecurity', 'defense', 'government', 'market', 'segment']"
Software-Entwickler (w/m/d),IT,"['software', 'developer']"
Java Full-Stack-Developer Energy (m/w/d),IT,"['java', 'fullstack', 'developer', 'energy']"
Trainee Planung ETCS (w/m/d),IT,"['trainee', 'planning', 'etcomputer', 'science']"
Sachbearbeiter / Bürokauffrau im International Key Account Service (w/m/d),Sales,"['clerk', 'office', 'clerk', 'international', 'key', 'account', 'service']"
(Senior) Consultant SAP UI5 & Fiori (w/m/d),IT,"['consultant', 'system', 'application', 'product', 'user', 'interface', 'fiori']"
(Senior) Project Manager (m/w/d) für den Bereich BI und IoT,IT,"['project', 'manager', 'business', 'intelligence', 'iot']"
Brancheninsider Gießerei als Produktmanager (m/w),Marketing and Communication,"['industry', 'insider', 'foundry', 'product', 'manager']"
Mitarbeiter (gn) Projektabwicklung,Sales,"['employee', 'gn', 'project', 'management']"
Prozess- und Projektmanager (w/m/x) - Schwerpunkt RPA (RPA-Creator),IT,"['process', 'project', 'manager', 'focus', 'rpersonal', 'assistant', 'rpersonal', 'assistant', 'creator']"
Softwareentwickler | Toolentwicklung Java Automotive (m/w/d),IT,"['software', 'developer', 'tool', 'development', 'java', 'automotive']"
"Projektleiter* für Business-, System- und Strategieprojekte",IT,"['project', 'manager', 'business', 'system', 'strategy', 'project']"
Praktikant / studentische Aushilfe (w/m/d) Bereich Digital Marketing Consulting,Marketing and Communication,"['intern', 'student', 'assistant', 'digital', 'marketing', 'consulting']"
(Senior) System Architekt (m/w/d),IT,"['system', 'architect']"
Team Lead (w/m/d) Regulatory Affairs,IT,"['team', 'lead', 'regulatory', 'affair']"
Verkäufer im Innendienst (m/w/d),Sales,"['back', 'office', 'salesman']"
SAP PI/PO Inhouse Consultant (m/w/d),IT,"['system', 'application', 'product', 'pi', 'po', 'inhouse', 'consultant']"
Java Developer für Connected-Car Projekte (m/w/d),IT,"['java', 'developer', 'connected', 'car', 'project']"
"Key Account Manager (m/w/d) im Außendienst - Albstadt, Leutkirch, Sigmaringen, Biberach",Sales,"['key', 'account', 'manager', 'field', 'service', 'albstadt', 'leutkirch', 'sigmaringen', 'biberach']"
Senior BeraterInnen im Bereich öffentlicher Sektor (w/m/d),IT,"['consultant', 'public', 'sector']"
Mitarbeiter Kundenservice / Reiseberater (m/w/d),Sales,"['customer', 'service', 'travel', 'advisor']"
Account Manager - Consumer,Sales,"['account', 'manager', 'consumer']"
Testingenieur (m/w/d) Systemintegrationstest,IT,"['test', 'engineer', 'system', 'integration', 'test']"
Ausbildung zum/r Kaufmann/-frau für Marketingkommunikation (m/w/d),Marketing and Communication,"['training', 'businessman', 'woman', 'marketing', 'communication']"
IT-Projektmanager (m/w/d) für SAP IS-U / Prozessgruppe Messung und Abrechnung,IT,"['information', 'technology', 'project', 'manager', 'system', 'application', 'product', 'isu', 'process', 'group', 'measurement', 'billing']"
Praktikant*in im Projektsupport – Akquise und Umsetzung von IoT-basierten Logistiklösungen,IT,"['intern', 'project', 'support', 'acquisition', 'implementation', 'iotbased', 'logistics', 'solution']"
Business Intelligence Data Engineer (w/m/d),IT,"['business', 'intelligence', 'data', 'engineer']"
Quality Engineer (m/w/d) Software,IT,"['quality', 'engineer', 'software']"
IT Projekt- und Servicemanager (m/w/d),IT,"['information', 'technology', 'project', 'service', 'manager']"
Expert SAP Master Data Governance / Management (w/m/d),IT,"['expert', 'system', 'application', 'product', 'master', 'data', 'governance', 'management']"
Personaldisponent*in (m/w/d) Hostessenservice,Marketing and Communication,"['personnel', 'dispatcher', 'hostess', 'service']"
Linux System Engineer - Schwerpunkt Configuration Management (w/m/d),IT,"['linux', 'system', 'engineer', 'focus', 'configuration', 'management']"
Vertrieb im Innendienst / Sales Manager / Key Account Manager (m/w/d),Sales,"['internal', 'sale', 'sale', 'manager', 'key', 'account', 'manager']"
IT System Architect (gn),IT,"['information', 'technology', 'system', 'architect', 'gn']"
Vertriebler (m/w/d) Gebrauchtfahrzeuge,Sales,"['salesperson', 'used', 'vehicle']"
Java-Softwareentwickler (w/m/d),IT,"['java', 'software', 'developer']"
Software Engineer (m/w/d),IT,"['software', 'engineer']"
Immobilienkaufmann oder kaufmännischer Mitarbeiter (w/m/d) als Abrechner für Heiz- und Betriebskosten,Sales,"['real', 'estate', 'agent', 'commercial', 'employee', 'calculator', 'heating', 'operating', 'cost']"
IT-Business Analyst (m/w/d) Beschaffungsprozesse,IT,"['information', 'technology', 'business', 'analyst', 'procurement', 'process']"
Technikerin / Techniker (w/m/d) Clientbetreuung,IT,"['technician', 'client', 'support']"
"Verkäufer, Kaufmann im Einzelhandel, Gas- und Wasserinstallateur oder Anlagenmechaniker Sanitär, Heizung, Klima als Fachberater (m/w/d) Sanitär",Sales,"['salesperson', 'retail', 'merchant', 'gas', 'water', 'plumber', 'system', 'mechanic', 'plumbing', 'heating', 'air', 'conditioning', 'specialist', 'plumbing', 'consultant']"
(Senior) Consultant Programmsteuerung Verwaltungsmodernisierung (w/m/d),IT,"['consultant', 'program', 'control', 'administrative', 'modernization']"
Area Manager (w/m/divers) für unsere Küchenstudios,Sales,"['area', 'manager', 'kitchen', 'studio']"
Mitarbeiter (m/w/d) im telefonischen Kundenservice / Kundendialog / Call-Center,Sales,"['employee', 'telephone', 'customer', 'service', 'customer', 'dialogue', 'call', 'center']"
Werkstudent Fahrgastmarketing (w/m/d),Marketing and Communication,"['working', 'student', 'passenger', 'marketing']"
Mitarbeiter (m/w/d) IT - Berechtigungsmanagement,IT,"['information', 'technology', 'staff', 'authorization', 'management']"
Performance Marketing Manager Advertising & Display (m/w/d) - Heidelberg,Marketing and Communication,"['performance', 'marketing', 'manager', 'advertising', 'display', 'heidelberg']"
Marktleiter (m/w/d),Sales,"['store', 'manager']"
Fachlagerist/in (m/w/d),Sales,"['specialist', 'warehouse', 'clerk']"
Sharepoint Office 365 Consultant (m/w/x),IT,"['sharepoint', 'office', 'consultant']"
Software - Entwickler (m/w),IT,"['software', 'developer']"
Information Architect m | f | d,IT,"['information', 'architect']"
Praktikant Projektmanagement (w/m/d),IT,"['project', 'management', 'intern']"
MITARBEITER (W/M/D) NOTRUFSERVICELEITSTELLE,Sales,"['employee', 'emergency', 'control', 'center']"
Verkaufsberater (m/w/d) für Jagd- und Sportwaffen Wustermark in Voll- oder Teilzeit,Sales,"['fulltime', 'parttime', 'sale', 'consultant', 'hunting', 'sporting', 'weapon', 'wustermark']"
Verwaltungsmitarbeiter mit Kundenbetreuungsaufgaben (m/w/d),Sales,"['administrative', 'staff', 'customer', 'care', 'task']"
Senior Data Scientist / Machine Learning Expert (m/w/d) Reise,IT,"['data', 'scientist', 'machine', 'learning', 'expert', 'trip']"
Trainee (d/m/w) - IT Developer - Europe,IT,"['trainee', 'information', 'technology', 'developmenteloper', 'europe']"
Sachbearbeiter / Bürokauffrau (w/m/d) im Kundenservice und Export,Sales,"['clerk', 'office', 'clerk', 'customer', 'service', 'export']"
Verkaufsleiter (m/w/d) SKODA,Sales,"['sale', 'manager', 'skoda']"
Berater Robotic Process Automation - RPA Engineer (m/w/d),IT,"['consultant', 'robotic', 'process', 'automation', 'rpersonal', 'assistant', 'engineer']"
Head of Marketing (fm/x),Marketing and Communication,"['head', 'marketing']"
Head of Life Cycle Service (m/w/d),Sales,"['head', 'life', 'cycle', 'service']"
Ausbildung zum Fachinformatiker (m/w/d) für Anwendungsentwicklung,IT,"['training', 'information', 'technology', 'specialist', 'application', 'development']"
IT-Systemadministrator (m/w/d),IT,"['information', 'technology', 'system', 'administrator']"
Junior- oder Senior-Consultant (m/w/d) für den Bereich Investment & Development,Sales,"['consultant', 'investment', 'development']"
Direktionsbevollmächtigter (m/w/d) Haftpflichtversicherung,Sales,"['authorized', 'liability', 'insurance']"
Serviceassistent / Kundenbetreuer (m/w/d),Sales,"['service', 'assistant', 'account', 'manager']"
Duales Studium: Informatik im gehobenen technischen Dienst,IT,"['dual', 'study', 'computer', 'science', 'higher', 'technical', 'service']"
Programm Assistent/in (m/w/d),Sales,"['program', 'assistant']"
Junior Software Engineer (m/w/d),IT,"['software', 'engineer']"
Teamleiter / Sport Leader mit Personalverantwortung (m/w/d),Sales,"['team', 'leader', 'sport', 'leader', 'personnel', 'responsibility']"
Systementwickler / Web-Entwickler (m/w/d) Frontend – Java / JavaScript / HTML5 / Angular,IT,"['system', 'developer', 'web', 'developer', 'frontend', 'java', 'javascript', 'hypertext', 'markup', 'language', 'angular']"
Verkäufer (w/m/d) Damenwäsche und -bademode in Teilzeit (80 Stunden/Monat) | LASCANA,Sales,"['parttime', 'lingerie', 'swimwear', 'seller', 'hour', 'month', 'lascana']"
"Duales Studium Bachelor of Science in Informatik (m/w/d), ab 09/2020",IT,"['dual', 'study', 'bachelor', 'science', 'computer', 'science']"
Technischer Consultant – Controlling Applications (m/w/d),IT,"['technical', 'consultant', 'controlling', 'application']"
(Junior) IT- Administrator (m/w/d) – Projekt FX,IT,"['information', 'technology', 'administrator', 'project', 'fx']"
"Verkäufer, Kaufmann im Einzelhandel, Fliesenleger oder Steinmetz als Fachberater (m/w/d) Fliesen und Baustoffe",Sales,"['salesman', 'merchant', 'retail', 'tiler', 'stonemason', 'specialist', 'advisor', 'tile', 'building', 'material']"
