,job_title,category,clean_job_title
36,Vertriebsmitarbeiter im Außendienst (m/w/d),Sales,Sales representative in the field
37,Praktikant (m/w/divers) Information Research,Marketing and Communication,Information Research Intern
38,Abteilungsleiter (w/m/d) Customer Service Leasing,Sales,Head of Customer Service Leasing
39,Key Account Manager (m/w/d) Versicherungsplattform,Sales,Key Account Manager insurance platform
40,Germany Sales Manager - Electronics Division (Home-Office) (m/w/d),Sales,Germany Sales Manager - Electronics Division (Home Office)
41,(Senior) IT System Engineer Communication (Skype for Business / VoIP / Video Backoffice) (m/w/d),IT,(Senior) IT System Engineer Communication (Skype for Business / VoIP / Video Backoffice)
42,SAP Berechtigungsadministrator (gn),IT,SAP authorization administrator (gn)
43,Web-Applikationsentwickler/in für moderne Frontend Lösungen (m/w/d),IT,Web application developer for modern front-end solutions
44,Mitarbeiter Konferenz- & Bankettservice (m/w/d),Marketing and Communication,Employee conference & banquet service
45,Teamleiter Rollout SAP PA - Stammdaten (m/w/d),IT,Team leader rollout SAP PA - master data
46,Release-Koordinator (m/w/d),IT,Release coordinator
47,"Projektassistent Vertrieb (Schweden/Norwegen) m/w/d, 20h/Woche, befristet für 2 Jahre",Marketing and Communication,"Sales project assistant m / f / d, h / week, limited for years"
48,Praktikant (w/m/d) Sales Operations,Sales,Intern Sales Operations
49,Market Manager (m/f/d) Pharma & Biopharma,Marketing and Communication,Market Manager Pharma & Biopharma
50,Senior Consultant / Manager Technology Consulting - Financial Services (w/m/d),IT,Senior Consultant / Manager Technology Consulting - Financial Services
51,Professional Service (m/w/d),IT,Professional service
52,IT Anwendungsbetreuer (w/m/d),IT,IT application supervisor
53,Technischer Berater im Außendienst (m/w),Sales,Technical consultant in the field
54,Penetration Tester | IT-Security Engineer (m/w/d) | Offensive Cyber Security | Applications and Infrastructure,IT,Penetration Tester | IT security engineer | Offensive Cyber ​​Security | Applications and Infrastructure
55,IT-Mitarbeiter (m/w/d),IT,IT staff
56,Praktikum im Bereich IT Architektur und digitale Innovation ab Februar 2020,IT,Internship in IT architecture and digital innovation from February
57,(Senior) DevOps Engineer (m/w/d),IT,(Senior) DevOps Engineer
58,Projekt Manager / Conference Manager (m/w/d),Sales,Project Manager / Conference Manager
59,Sales Manager (m/w/d) im B2B-Großkundenvertrieb,Sales,Sales Manager in BB major customer sales
60,Softwareentwickler Java / Semantic Web (m/w/d),IT,Software developer Java / Semantic Web
61,Cloud Security Engineer (m/w/d),IT,Cloud Security Engineer
62,Trainee technisches Produktmanagement (m/w/d),Marketing and Communication,Technical product management trainee
63,Kaufmännischer Mitarbeiter (m/w/d) für Auftragsmanagement,Sales,Commercial employee for order management
64,Junior Sales Consultant (m/w/d) - Junior Account Manager,Sales,Junior Sales Consultant - Junior Account Manager
65,Pharmazeutisch-technischer Assistent / PTA (m/w/d),Sales,Pharmaceutical technical assistant / PTA
66,Mitarbeiter (m/w/d) IT Service Management,IT,IT Service Management employee
67,(Senior) Project Manager für SAP Basis Projekte (m/w/d),IT,(Senior) Project Manager for SAP Basis Projects
68,Scrum Master / Agile Coach (m/w/d),IT,Scrum Master / Agile Coach
69,Solution Architect (m/w/d) Microsoft Office 365,IT,Solution Architect Microsoft Office
70,Praktikant*in Berechtigungsmanagement und Informationssicherheit,IT,Internship in authorization management and information security
71,(Junior-)Administrator Systemmanagement (m/w/d) mit Schwerpunkt SAP,IT,(Junior) administrator system management with a focus on SAP
72,B2B Telesales (Agent)/ Kundenberater im Innendienst/ Call Center Agent/ Dialogcenter Agent auch Quereinsteiger (m/w/d),Sales,BB Telesales (agent) / customer advisor in the office / call center agent / dialog center agent also lateral entrants
73,Vertriebsmitarbeiter (m/w/d),Sales,sales staff
74,Nachwuchs-Verkäufer Pkw (m/w/d),Sales,New generation car salesman
75,Wissenschaftlicher Mitarbeiter (m/w/d) im Bereich Computergrafik am Institut für Games,IT,Research assistant in the field of computer graphics at the Institute for Games
76,"Datenbankadministrator (m/w/d) MS SQL, DBMS",IT,"Database administrator MS SQL, DBMS"
77,Mitarbeiter (m/w/d) schriftlicher Kundenservice Schwerpunkt Bestellerfassung,Sales,Employee written customer service focus on order entry
78,Verkäufer (m/w/d) Projektbereich Badplanung,Sales,Seller project area bathroom planning
79,Kundenbetreuer (m/w/d) Kundenservice,Sales,Customer service representative
80,IT-Systemadministrator (m/w/d) für unsere interne IT,IT,IT system administrator for our internal IT
81,Product and Portfolio Manager INN OTC (w/m/d),Marketing and Communication,Product and Portfolio Manager INN OTC
82,Netzwerkadministrator (m/w/d),IT,Network administrator
83,Java Developer (m/w/d) Underwriting,IT,Java Developer Underwriting
84,Key Account Manager B2B (m/w/d),Sales,Key Account Manager BB
85,Teamleiter (m/w/d) in der Privatkundenbetreuung,Sales,Team leader in private customer care
86,IT-Projektleiter (m/w/d),IT,IT project manager
87,Mitarbeiter im Vertriebsinnen- und Außendienst (m/w/d),Sales,Employees in internal and external sales
88,SAP Basis Berater/ Consultant (m/w/d),IT,SAP Basis Consultant
89,Junior Social Media Manager (w/m/d),Marketing and Communication,Junior Social Media Manager
90,Manager (m/w/d) Data Scientist - Advisory (Financial Services),IT,Manager Data Scientist - Advisory (Financial Services)
91,Bereichsleiter (m/w/d) Frischetheke (Metzgerei),Sales,Head of fresh food counter (butcher's shop)
92,Duales Studium in der Unternehmensberatung - Angewandte Informatik (Bachelor of Science),IT,Dual studies in management consulting - Applied Computer Science (Bachelor of Science)
93,Werkstudent (m/w/d) Informatik / IT Sicherheit,IT,Working student computer science / IT security
94,Kundenservicemitarbeiter (m/w/d) – Berlin – deutsch und türkischer Support,Sales,Customer service staff - Berlin - German and Turkish support
95,Verkäufer*in (m/w/d) für den Hofladen in Voll- oder Teilzeit,Sales,Full-time or part-time seller for the farm shop
96,Trainee Entwicklung & Business Development (m/w/d),Sales,Trainee Development & Business Development
97,Project Manager (m/f/d) Data Analytics,IT,Project Manager Data Analytics
98,Call Center Agenten (m/w/d),Sales,Call center agents
99,Praktikant*in in Marketing und Kommunikation,Marketing and Communication,Intern in marketing and communication
100,Mitarbeiter (m/w/d) für die Entwicklung im Identity- & Access-Management,IT,Employee for development in identity & access management
101,Berater (m/w/d) für die Versicherungsbranche,IT,Consultant for the insurance industry
102,SAP FI/CO Berater (m/w/d) – SAP FI/CO Consultant,IT,SAP FI / CO Consultant - SAP FI / CO Consultant
103,Softwareentwickler - Kundenprojekte (m/w/d),IT,Software developer - customer projects
104,"Verkäufer, Kaufmann im Einzelhandel, Kaufmann für Büromanagement / Bürokaufmann als Fachberater (m/w/d) Kundeninformationscentrum",Sales,"Salesperson, retail merchant, office management clerk as a specialist advisor to customer information center"
105,Medizinprodukteberater (m/w/d) im Bereich Wundversorgung bundesweit - in diversen Gebieten,Sales,Medical product consultant in the field of wound care nationwide - in various areas
106,Stellvertretender Marktleiter (m/w/d),Sales,Deputy store manager
107,IT-Systemelektroniker/-in / Systeminformatiker/-in / Kommunikationselektroniker/-in (w/m/d),IT,IT system electronics technician / system informatics technician / communications electronics technician
108,Marketingfachkraft / Mitarbeiter Marketing (m/w/d),Marketing and Communication,Marketing specialist / employee marketing
109,Mitarbeiter (w/m/d) Customer Service,Sales,Customer Service employee
110,(Senior) Solution Engineer (m/w/d) – SAP Vertrieb & Logistik (SD/LO/MM),IT,(Senior) Solution Engineer - SAP Sales & Logistics
111,IT-Verfahrensspezialisten SharePoint Verfahren (w/m/d),IT,IT process specialists SharePoint process
112,Spezialist Business Intelligence (m/w/d),IT,Business intelligence specialist
113,Sachbearbeitung Key-Account-Management (m/w/d),Marketing and Communication,Processing of key account management
114,Sachbearbeiter Kundenservice (m/w/d),Sales,Customer service clerk
115,Bereichsleiter Medialer und Stationärer Vertrieb (m/w/d),Sales,Head of Media and Stationary Sales
116,"Verkäufer, Kaufmann im Einzelhandel, Maler, Lackierer oder Raumausstatter als Fachberater (m/w/d) Farben und Creativ",Sales,"Salesman, retailer, painter, varnisher or interior decorator as a paint and creative consultant"
117,Sachbearbeiter Administration / Backoffice (m/w/d),Sales,Administration / back office clerk
118,Informatiker als Projektkoordinator (m/w/d) im Bereich Digitalisierung,IT,Computer scientist as project coordinator in the field of digitization
119,UI/UX Designer (w/m/d),IT,UI / UX designer
120,Vertriebsmanager für den Telefonvertrieb (w/m/d),Sales,Sales manager for telephone sales
121,Designer Userinterfaces für Webanwendungen (m/w/d),IT,Designer user interfaces for web applications
122,Vermietungsmanager (m/w/d) - Einzelhandel,Sales,Letting Manager - Retail
123,Mitarbeiter (m/w/d) Customer Service / befristet auf 12 Monate,Sales,Customer Service employee / limited to months
124,Frontend Developer - Digital Products (f/m/x),IT,Frontend Developer - Digital Products
125,Wissenschaftlicher Mitarbeiter mit Möglichkeit zur Promotion aus dem Bereich Echtzeit-3D-Visualisierung,IT,Research assistant with the opportunity to do a doctorate in the field of real-time D visualization
126,Referent (m/w/d) Marketing - Marktforschung,Marketing and Communication,Marketing consultant - market research
127,Mediaberater national (m/w/d),Marketing and Communication,National media consultant
128,Consultant (m/w/d) Wodis Sigma,IT,Consultant Wodis Sigma
129,Kaufmännischer Mitarbeiter im Vertriebsinnendienst / Vertriebsassistenz (m/w/d) in der Region Paderborn und Höxter,Sales,Commercial employee in internal sales / sales assistance in the Paderborn and Höxter region
130,Immobilienkaufmann als Produktspezialist (m/w/d) für die Kundenbetreuung unserer immobilienwirtschaftlichen Software,Sales,Real estate agent as a product specialist for customer support for our real estate management software
131,Teamleiter Onboarding Systems (w/m/d),IT,Team leader onboarding systems
132,Marktmanager (m/w/d) Glottertal,Sales,Market manager Glottertal
133,Online Performance Marketing Manager,Marketing and Communication,Online Performance Marketing Manager
134,Media Manager (Branding) (m/w/d),Marketing and Communication,Media Manager (Branding)
135,Knowledge Management Specialist (m/w/d),IT,Knowledge Management Specialist
136,Developer (m/w/d) mit dem Schwerpunkt Front-End,IT,Developer with a focus on the front-end
137,Marketing/ Eventmanager (w/m/d),Marketing and Communication,Marketing / event manager
138,IT-Servicetechniker (m/w/d),IT,IT service technician
139,iOS App Developer*,IT,iOS App Developer *
140,Kundenbetreuer (m/w/d) Innendienst mit Schwerpunkt Bedruckung,Sales,Customer advisor in the office with a focus on printing
141,Dualer Master (m/w/d) Business Intelligence im Europäischen IT-Business-Bereich,IT,Dual Master's in Business Intelligence in the European IT business area
142,Kundenbetreuer im Innendienst,Sales,Customer advisor in the office
143,Praktikum Content Marketing / Social Media (m/w/d),Marketing and Communication,Internship content marketing / social media
144,Softwarearchitekt Java (w/m/d),IT,Java software architect
145,Volontär/in (m/w/d) im Bereich Marketing,Marketing and Communication,Marketing volunteer
146,Marketing Referent (m/w/d),Marketing and Communication,Marketing speaker
147,Ausbildung zum Drogisten (w/m/d) 2020,Sales,Training as a pharmacist
148,Junior Consultant (all genders) Intelligent Cloud and Infrastructure,IT,Junior Consultant (all genders) Intelligent Cloud and Infrastructure
149,Projektmanager im Bereich Facility Management Systeme (m/w/d),IT,Project manager in the field of facility management systems
150,DevOps - Open Banking Integration (f/m/x),IT,DevOps - Open Banking Integration
151,Außendienstmitarbeiter (m/w/d) im Bereich Tiergesundheit (Groß- und Kleintiere),Sales,Sales representative in the field of animal health (large and small animals)
152,Servicetechniker (w/m/d) Apple in Voll- und Teilzeit,IT,Service technician Apple full-time and part-time
153,(Senior) System Engineer (m/w/d) - Storage / SAN,IT,(Senior) System Engineer - Storage / SAN
154,Principal Sales Consultant - Cybersecurity (m/w/d) für das Marktsegment Defense & Government,IT,Principal Sales Consultant - Cybersecurity for the Defense & Government market segment
155,Software-Entwickler (w/m/d),IT,Software developer
156,Java Full-Stack-Developer Energy (m/w/d),IT,Java full-stack developer Energy
157,Trainee Planung ETCS (w/m/d),IT,Trainee planning ETCS
158,Sachbearbeiter / Bürokauffrau im International Key Account Service (w/m/d),Sales,Clerk / office clerk in the International Key Account Service
159,(Senior) Consultant SAP UI5 & Fiori (w/m/d),IT,(Senior) Consultant SAP UI & Fiori
160,(Senior) Project Manager (m/w/d) für den Bereich BI und IoT,IT,(Senior) Project Manager for BI and IoT
161,Brancheninsider Gießerei als Produktmanager (m/w),Marketing and Communication,Industry insider foundry as product manager
162,Mitarbeiter (gn) Projektabwicklung,Sales,Employee (gn) project management
163,Prozess- und Projektmanager (w/m/x) - Schwerpunkt RPA (RPA-Creator),IT,Process and project manager - focus on RPA (RPA Creator)
164,Softwareentwickler | Toolentwicklung Java Automotive (m/w/d),IT,Software developer | Tool development Java Automotive
165,"Projektleiter* für Business-, System- und Strategieprojekte",IT,"Project manager * for business, system and strategy projects"
166,Praktikant / studentische Aushilfe (w/m/d) Bereich Digital Marketing Consulting,Marketing and Communication,Intern / student assistant in Digital Marketing Consulting
167,(Senior) System Architekt (m/w/d),IT,(Senior) system architect
168,Team Lead (w/m/d) Regulatory Affairs,IT,Team Lead Regulatory Affairs
169,Verkäufer im Innendienst (m/w/d),Sales,Back office salesman
170,SAP PI/PO Inhouse Consultant (m/w/d),IT,SAP PI / PO in-house consultant
171,Java Developer für Connected-Car Projekte (m/w/d),IT,Java developer for connected car projects
172,"Key Account Manager (m/w/d) im Außendienst - Albstadt, Leutkirch, Sigmaringen, Biberach",Sales,"Key Account Manager in the field service - Albstadt, Leutkirch, Sigmaringen, Biberach"
173,Senior BeraterInnen im Bereich öffentlicher Sektor (w/m/d),IT,Senior consultants in the public sector
174,Mitarbeiter Kundenservice / Reiseberater (m/w/d),Sales,Employee customer service / travel advisor
175,Account Manager - Consumer,Sales,Account Manager - Consumer
176,Testingenieur (m/w/d) Systemintegrationstest,IT,Test engineer system integration test
177,Ausbildung zum/r Kaufmann/-frau für Marketingkommunikation (m/w/d),Marketing and Communication,Training as a businessman / woman for marketing communication
178,IT-Projektmanager (m/w/d) für SAP IS-U / Prozessgruppe Messung und Abrechnung,IT,IT project manager for SAP IS-U / process group measurement and billing
179,Praktikant*in im Projektsupport – Akquise und Umsetzung von IoT-basierten Logistiklösungen,IT,Intern in project support - acquisition and implementation of IoT-based logistics solutions
180,Business Intelligence Data Engineer (w/m/d),IT,Business Intelligence Data Engineer
181,Quality Engineer (m/w/d) Software,IT,Quality Engineer Software
182,IT Projekt- und Servicemanager (m/w/d),IT,IT project and service manager
183,Expert SAP Master Data Governance / Management (w/m/d),IT,Expert SAP Master Data Governance / Management
184,Personaldisponent*in (m/w/d) Hostessenservice,Marketing and Communication,Personnel dispatcher * in hostess service
185,Linux System Engineer - Schwerpunkt Configuration Management (w/m/d),IT,Linux system engineer - focus on configuration management
186,Vertrieb im Innendienst / Sales Manager / Key Account Manager (m/w/d),Sales,Internal sales / sales manager / key account manager
187,IT System Architect (gn),IT,IT System Architect (gn)
188,Vertriebler (m/w/d) Gebrauchtfahrzeuge,Sales,Salesperson used vehicles
189,Java-Softwareentwickler (w/m/d),IT,Java software developer
190,Software Engineer (m/w/d),IT,Software engineer
191,Immobilienkaufmann oder kaufmännischer Mitarbeiter (w/m/d) als Abrechner für Heiz- und Betriebskosten,Sales,Real estate agent or commercial employee as a calculator for heating and operating costs
192,IT-Business Analyst (m/w/d) Beschaffungsprozesse,IT,IT business analyst procurement processes
193,Technikerin / Techniker (w/m/d) Clientbetreuung,IT,Technician client support
194,"Verkäufer, Kaufmann im Einzelhandel, Gas- und Wasserinstallateur oder Anlagenmechaniker Sanitär, Heizung, Klima als Fachberater (m/w/d) Sanitär",Sales,"Salesperson, retail merchant, gas and water plumber or system mechanic for plumbing, heating, air conditioning as a specialist plumbing consultant"
195,(Senior) Consultant Programmsteuerung Verwaltungsmodernisierung (w/m/d),IT,(Senior) Consultant Program Control Administrative modernization
196,Area Manager (w/m/divers) für unsere Küchenstudios,Sales,Area manager for our kitchen studios
197,Mitarbeiter (m/w/d) im telefonischen Kundenservice / Kundendialog / Call-Center,Sales,Employee in telephone customer service / customer dialogue / call center
198,Werkstudent Fahrgastmarketing (w/m/d),Marketing and Communication,Working student in passenger marketing
199,Mitarbeiter (m/w/d) IT - Berechtigungsmanagement,IT,IT staff - authorization management
200,Performance Marketing Manager Advertising & Display (m/w/d) - Heidelberg,Marketing and Communication,Performance Marketing Manager Advertising & Display - Heidelberg
201,Marktleiter (m/w/d),Sales,Store manager
202,Fachlagerist/in (m/w/d),Sales,Specialist warehouse clerk
203,Sharepoint Office 365 Consultant (m/w/x),IT,Sharepoint Office Consultant
204,Software - Entwickler (m/w),IT,Software developer
205,Information Architect m | f | d,IT,Information Architect m | f | d
206,Praktikant Projektmanagement (w/m/d),IT,Project management intern
207,MITARBEITER (W/M/D) NOTRUFSERVICELEITSTELLE,Sales,EMPLOYEES EMERGENCY CONTROL CENTER
208,Verkaufsberater (m/w/d) für Jagd- und Sportwaffen Wustermark in Voll- oder Teilzeit,Sales,Full-time or part-time sales consultant for hunting and sporting weapons in Wustermark
209,Verwaltungsmitarbeiter mit Kundenbetreuungsaufgaben (m/w/d),Sales,Administrative staff with customer care tasks
210,Senior Data Scientist / Machine Learning Expert (m/w/d) Reise,IT,Senior data scientist / machine learning expert trip
211,Trainee (d/m/w) - IT Developer - Europe,IT,Trainee - IT Developer - Europe
212,Sachbearbeiter / Bürokauffrau (w/m/d) im Kundenservice und Export,Sales,Clerk / office clerk in customer service and export
213,Verkaufsleiter (m/w/d) SKODA,Sales,Sales manager SKODA
214,Berater Robotic Process Automation - RPA Engineer (m/w/d),IT,Consultant Robotic Process Automation - RPA Engineer
215,Head of Marketing (fm/x),Marketing and Communication,Head of Marketing
216,Head of Life Cycle Service (m/w/d),Sales,Head of Life Cycle Service
217,Ausbildung zum Fachinformatiker (m/w/d) für Anwendungsentwicklung,IT,Training as IT specialist for application development
218,IT-Systemadministrator (m/w/d),IT,IT system administrator
219,Junior- oder Senior-Consultant (m/w/d) für den Bereich Investment & Development,Sales,Junior or Senior Consultant for Investment & Development
220,Direktionsbevollmächtigter (m/w/d) Haftpflichtversicherung,Sales,Authorized Liability Insurance
221,Serviceassistent / Kundenbetreuer (m/w/d),Sales,Service assistant / account manager
222,Duales Studium: Informatik im gehobenen technischen Dienst,IT,Dual study: Computer science in the higher technical service
223,Programm Assistent/in (m/w/d),Sales,Program assistant
224,Junior Software Engineer (m/w/d),IT,Junior software engineer
225,Teamleiter / Sport Leader mit Personalverantwortung (m/w/d),Sales,Team leader / sports leader with personnel responsibility
226,Systementwickler / Web-Entwickler (m/w/d) Frontend – Java / JavaScript / HTML5 / Angular,IT,System developer / web developer frontend - Java / JavaScript / HTML / Angular
227,Verkäufer (w/m/d) Damenwäsche und -bademode in Teilzeit (80 Stunden/Monat) | LASCANA,Sales,Part-time lingerie and swimwear seller (hours / month) | LASCANA
228,"Duales Studium Bachelor of Science in Informatik (m/w/d), ab 09/2020",IT,"Dual study Bachelor of Science in Computer Science, from /"
229,Technischer Consultant – Controlling Applications (m/w/d),IT,Technical Consultant - Controlling Applications
230,(Junior) IT- Administrator (m/w/d) – Projekt FX,IT,(Junior) IT administrator - Project FX
231,"Verkäufer, Kaufmann im Einzelhandel, Fliesenleger oder Steinmetz als Fachberater (m/w/d) Fliesen und Baustoffe",Sales,"Salesman, merchant in retail, tiler or stone mason as specialist advisor for tiles and building materials"
232,(Senior) Online Marketing Manager (m/f/d) SEA,Marketing and Communication,(Senior) Online Marketing Manager SEA
233,IT-Administrator (m/w/d),IT,IT administrator
234,IT Support Spezialist (m/w/d),IT,IT support specialist
235,Außendienstmitarbeiter (m/w/d) im Bereich Handwerk,Sales,Sales representative in the craft sector
236,Junior-CRM-Manager (m/w/d),Marketing and Communication,Junior CRM Manager
237,Lizenzmanager/ Consultant (gn) Software Lifecycle Management,IT,License manager / consultant (gn) software lifecycle management
238,Local IT Support Technician (m/f/d),IT,Local IT Support Technician
239,Praktikant (m/w/d) Digitalmarketing,Marketing and Communication,Digital Marketing Intern
240,Software Developer Backend (m/w/d),IT,Software developer backend
241,Personaldisponent / Vertriebsdisponent (m/w/d),Sales,Personnel dispatcher / sales dispatcher
242,Teamleiter (m/w/d) SEO & Contentmarketing Reise,Marketing and Communication,Team leader SEO & content marketing trip
243,Leiter Business Development / Produktmanagement (m/w/d),Marketing and Communication,Head of Business Development / Product Management
244,(Senior) Global Product Manager (m/f/d),Marketing and Communication,(Senior) Global Product Manager
245,Trainee Account Management Media (m/w/d),Marketing and Communication,Trainee Account Management Media
246,Leiter Kundenberatung (m/w/d) im Angestelltenvertrieb in der Region Neumarkt und Regensburg,Sales,Head of customer service in employee sales in the Neumarkt and Regensburg region
247,Regionaler Key Account Manager LEH für Süddeutschland (m/w/d),Sales,Regional key account manager food retail for southern Germany
248,Mitarbeiter im Team Kundenmanagement,IT,Employee in the customer management team
249,IT-Support-Spezialist für das Top-Management (VIP) (m/w/d),IT,IT support specialist for top management (VIP)
250,Gebietsverkaufsleiter (w/m/d) im Automobilbereich,Sales,Area sales manager in the automotive sector
251,Werkstudent*in im Bereich IT und Marketing,Marketing and Communication,Working student in IT and marketing
252,Consultant Travel Management SAP Concur (m/w/d),IT,Consultant Travel Management SAP Concur
253,Vertriebsprofi im Außendienst für den Vertrieb von Schmierstoffen (B2B) (w/m/d),Sales,Sales professional in the field for the sale of lubricants (BB)
254,Online Marketing Manager / Digital Media Manager (m/w/d),Marketing and Communication,Online Marketing Manager / Digital Media Manager
255,IT-Administrator (m/w/d),IT,IT administrator
256,Specialist Strategic Staff Planning & Analysis (m/w/d),IT,Specialist Strategic Staff Planning & Analysis
257,Expansionsmanager (m/w/d) im Außendienst,Sales,Expansion manager in the field
258,Category Lead Electronics (m/f/d),Marketing and Communication,Category Lead Electronics
259,Key Account Manager Immunologie (m/w/d),Sales,Key Account Manager Immunology
260,Datenbankspezialist (m/w/d) für SQL Server / Senior SQL Spezialist (m/w/d),IT,Database specialist for SQL Server / Senior SQL specialist
261,"Entwickler Embedded Systems (m/w/d), München",IT,"Developer Embedded Systems, Munich"
262,Sales Assistant / Vertriebsmitarbeiter (m/w/d),Sales,Sales Assistant / Sales Representative
263,Sachbearbeiter Contract Management (w/m/d),Sales,Contract Management clerk
264,Mitarbeiter (m/w/d) Projekt Management,Marketing and Communication,Employee project management
265,IT Systemadministrator (m/w/d) - IT Allrounder Schwerpunkt Windows,IT,IT system administrator - IT all-rounder with a focus on Windows
266,Consultant (all genders) Cloud Service Management,IT,Consultant (all genders) Cloud Service Management
267,Account Manager B2C Marketing (m/w/d),Sales,Account Manager BC Marketing
268,Softwareentwickler (m/w/d),IT,Software developer
269,User Help Desk (m/w/d),IT,User Help Desk
270,(Senior) SAP FI/CO Consultant (m/w/d),IT,(Senior) SAP FI / CO Consultant
271,"Systemadministrator Windows Server (m/w/d), München",IT,"System administrator Windows Server, Munich"
272,Kassierer / Mitarbeiter Kasse (m/w/d),Sales,Cashier / employee cashier
273,"Verkäufer, Kaufmann im Einzelhandel, Schreiner oder Gas-Wasserinstallateur als Teamleiter (m/w/d) Holz und Bauelemente, Fliesen und Baustoffe, Sanitär",Sales,"Salesman, merchant in retail, carpenter or gas plumber as team leader wood and construction elements, tiles and building materials, plumbing"
274,Inhouse Consultant (m/w/d) Functional Safety - Softwareentwicklung,IT,In-house consultant Functional Safety - software development
275,Automobil-Serviceberater (m/w/d) Werkstatt und Kundenservice,Sales,"Automobile service advisor, workshop and customer service"
276,Senior Firmware Developer (m/w/d),IT,Senior Firmware Developer
277,"Praktikum im Bereich Best Finance (Schwerpunkt: Kommunikation, Eventmanagement, Change-Management) ab März 2020",Marketing and Communication,"Internship in the area of ​​best finance (focus: communication, event management, change management) from March"
278,Key Account Manager Foodservice / Großhandel national (Homeoffice),Sales,Key Account Manager Foodservice / Wholesale national (home office)
279,Digitalisierungsmanager (m/w/d),IT,Digitization manager
280,Junior Sales Manager (m/w/d),Sales,Junior Sales Manager
281,Ausbildung als Fachinformatiker im Bereich Anwendungsentwicklung (m/w/d),IT,Training as IT specialist in the field of application development
282,Senior SEA Manager (m/w/d),Marketing and Communication,Senior SEA Manager
283,Mitarbeiter (m/w/d) für den First- und Second-Level-support,IT,Employees for first and second level support
284,(Senior) Associate Executive Search w/m/d,Sales,(Senior) Associate Executive Search f / m / d
